n,q,p,l,v,d
93,0.20874,0.79126,12070.29533,0.100619121,1214.502505
94,0.22451,0.77549,9550.741887,0.098164996,937.548539
95,0.24126,0.75874,7406.504826,0.095770728,709.3263576
96,0.25715,0.74285,5619.611471,0.093434856,525.0675908
97,0.27419,0.72581,4174.528382,0.091155957,380.5331315
98,0.29249,0.70751,3029.914445,0.088932641,269.4582948
99,0.31215,0.68785,2143.694769,0.086763553,185.9945738
100,0.33331,0.66669,1474.540447,0.084647368,124.8159684
101,0.35163,0.64837,983.0613704,0.082582798,81.18395899
102,0.37132,0.62868,637.3875007,0.080568584,51.35340828
103,0.3925,0.6075,400.712774,0.078603496,31.49742509
104,0.41527,0.58473,243.4330102,0.076686338,18.66798609
105,0.43973,0.56027,142.342584,0.074815939,10.64949415
106,0.46602,0.53398,79.75027956,0.07299116,5.821065453
107,0.49429,0.50571,42.58505428,0.071210888,3.032519542
108,0.52467,0.47533,21.5356878,0.069474037,1.496171178
109,0.55733,0.44267,10.23655848,0.06778,0.693829313
110,0.59244,0.40756,4.531417343,0.066126389,0.299646265
111,1,0,1.846824452,0.06451355,0.119145202
